RegionName,date,rent_index
Huntersville,2/28/21,1470.135429
Huntersville,3/31/21,1469.743724
Huntersville,4/30/21,1493.95027
Huntersville,5/31/21,1529.790043
Huntersville,6/30/21,1569.964683
Huntersville,7/31/21,1604.496767
Huntersville,8/31/21,1635.790703
Huntersville,9/30/21,1661.514436
Huntersville,10/31/21,1671.383288
Huntersville,11/30/21,1669.447006
Huntersville,12/31/21,1682.571657
Huntersville,1/31/22,1690.760966
Huntersville,2/28/22,1698.583194
Huntersville,3/31/22,1705.91206
Huntersville,4/30/22,1723.248376
Huntersville,5/31/22,1739.409315
Huntersville,6/30/22,1759.045709
Huntersville,7/31/22,1776.005361
Huntersville,8/31/22,1806.178065
Huntersville,9/30/22,1811.590623
Huntersville,10/31/22,1815.142255
Huntersville,11/30/22,1806.181979
Huntersville,12/31/22,1794.442932
Huntersville,1/31/23,1789.747988
Huntersville,2/28/23,1784.156091
Huntersville,3/31/23,1803.466195
Huntersville,4/30/23,1818.969822
Huntersville,5/31/23,1845.513446
Huntersville,6/30/23,1845.341334
Huntersville,7/31/23,1845.845626
Huntersville,8/31/23,1847.520335
Huntersville,9/30/23,1846.54238
Huntersville,10/31/23,1829.849865
Huntersville,11/30/23,1796.716706
Huntersville,12/31/23,1800.450734
Huntersville,1/31/24,1815.176198
Huntersville,2/29/24,1830.251511
Huntersville,3/31/24,1820.217519
Huntersville,4/30/24,1815.408257
Huntersville,5/31/24,1825.139983
Huntersville,6/30/24,1843.692067
Huntersville,7/31/24,1862.16647
Huntersville,8/31/24,1869.856543
Huntersville,9/30/24,1862.745523
Huntersville,10/31/24,1845.678141
Huntersville,11/30/24,1851.357953
Huntersville,12/31/24,1860.991543
Huntersville,1/31/25,1879.696641
Huntersville,2/28/25,1878.86278
Huntersville,3/31/25,1890.939512
Huntersville,4/30/25,1892.582753
Huntersville,5/31/25,1898.589912
Huntersville,6/30/25,1897.258776
Huntersville,7/31/25,1908.281754
Huntersville,8/31/25,1913.002452
Huntersville,9/30/25,1905.351398
Huntersville,10/31/25,1911.609313
Huntersville,11/30/25,1924.153088
Huntersville,12/31/25,1933.151608
Huntersville,1/31/26,1918.257438
Huntersville,2/28/26,1906.280688
Huntersville,3/31/26,1900.273335
Huntersville,4/30/26,1899.994615
